COURSE NUMBER,COURSE NAME,CRN,INSTRUCTOR,DAYS,TIME,BUILDING,ROOM,SEATS AVAILABLE
FANR9300,Doctoral Dissertation,22080,Jacek Siry,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9300,Doctoral Dissertation,22084,Chung-Jui Tsai,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9300,Doctoral Dissertation,22085,Tracey Tuberville,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9300,Doctoral Dissertation,22087,Susan Wilde,No days set,0001-2359,No Classroom Required,NCRR,98
FANR9300,Doctoral Dissertation,22088,Michael Yabsley,No days set,0001-2359,No Classroom Required,NCRR,99
FANR9300,Doctoral Dissertation,31844,James Martin,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9300,Doctoral Dissertation,39820,Kyle Woosnam,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9300,Doctoral Dissertation,39962,Douglas Aubrey,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9300,Doctoral Dissertation,45708,Guha Dharmarajan,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9300,Doctoral Dissertation,45712,Yanshu Li,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9300,Doctoral Dissertation,45716,Gino D'Angelo,No days set,0001-2359,No Classroom Required,NCRR,98
FANR9300,Doctoral Dissertation,48613,Jesse Abrams,No days set,0001-2359,No Classroom Required,NCRR,99
FANR9300,Doctoral Dissertation,48614,Daniel Johnson,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9300,Doctoral Dissertation,55344,Martin Hamel,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9300,Doctoral Dissertation,56234,Peter Hazelton,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9300,Doctoral Dissertation,56235,Alicia Peduzzi,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9300,Doctoral Dissertation,56236,Elizabeth Pienaar,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9300,Doctoral Dissertation,56636,Michel Kohl,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9300,Doctoral Dissertation,58988,Rebecca Abney,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9300,Doctoral Dissertation,59925,Joseph Dahlen,No days set,0001-2359,No Classroom Required,NCRR,99
FANR9300,Doctoral Dissertation,66107,Michael Bolding,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9300,Doctoral Dissertation,66910,Kelly Robinson,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9300,Doctoral Dissertation,67757,Helen Bothwell,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9300,Doctoral Dissertation,67758,Adam Fox,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9300,Doctoral Dissertation,67759,Bruno Kanieski da Silva,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9300,Doctoral Dissertation,67760,Stephen Kinane,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9300,Doctoral Dissertation,67821,Michael Mengak,No days set,0001-2359,No Classroom Required,NCRR,100
FANR9300,Doctoral Dissertation,69556,Travis DeVault,No days set,0001-2359,No Classroom Required,NCRR,99
FANR9300,Doctoral Dissertation,69557,Olin Rhodes,No days set,0001-2359,No Classroom Required,NCRR,99
FANR9990,Supervised Teaching Practicum in Forestry and Natural Resources,69459,Gino D'Angelo,No days set,0001-2359,No Classroom Required,NCRR,9
FANR9990,Supervised Teaching Practicum in Forestry and Natural Resources,69611,James Shelton,No days set,0001-2359,No Classroom Required,NCRR,9
FCID3500,The Holocaust from the Victims' Perspectives,67302,Amanda Walls,TR,1245-1400,Park Hall,228,0
FCID4000,Capstone in Transnational European Studies,44800,Joseph Kellner,TR,1110-1225,Leconte Hall,101,2
FCID5015,Museum Internship,55408,Akela Reason,No days set,0001-2359,No Classroom Required,NCRR,0
FCID5015,Museum Internship,69653,Callan Steinmann,No days set,0001-2359,No Classroom Required,NCRR,4
FCID5020,Museum Studies Certificate Capstone,50495,Akela Reason,W,1130-1220,Leconte Hall,321,0
FCID7015,Museum Internship,66210,Akela Reason,No days set,0001-2359,No Classroom Required,NCRR,5
FCID7020,Museum Studies Certificate Capstone,50497,Akela Reason,W,1130-1220,Leconte Hall,321,2
FDST2050,The Impact of Food on World History and Culture,63784,Ronald Pegg,MWF,0910-1000,Chemistry,430,228
FDST3000,Introduction to Food Science and Technology,21854,Ronald Pegg,TR,1245-1400,Food Science,131,0
FDST3000,Introduction to Food Science and Technology,68977,Ronald Pegg,MWF,1240-1330,Forest Resources-2,100,221
FDST4012,Food Processing II,22213,Joseph Usack,MW,1240-1330,Food Science,131,15
FDST4012L,Food Processing II,22221,Joseph Usack,M,1350-1700,Food Science,131,15
FDST4012L,Food Processing II,22221,Joseph Usack,M,1350-1700,Food Science,217,15
FDST4012L,Food Processing II,22221,Joseph Usack,M,1350-1700,Food Science,218,15
FDST4070,Nutritional Quality and the Effect of Technology,21919,Chad Paton,TR,1245-1400,Food Science,202,15
FDST4080,Instrumental Methods of Food Analysis,22505,Ronald Pegg,TR,0935-1050,Food Science,131,22
FDST4080L,Instrumental Methods of Food Analysis,22508,Ronald Pegg,R,1555-1845,Food Science,217,22
FDST4080L,Instrumental Methods of Food Analysis,22508,Ronald Pegg,R,1555-1845,Food Science,218,22
FDST4080L,Instrumental Methods of Food Analysis,22508,Ronald Pegg,R,1555-1845,Food Science,131,22
FDST4090,Food Quality Control,52913,Joonhyuk Suh,F,1130-1220,Food Science,202,14
FDST4100,Governmental Regulation of Food Safety and Quality,22103,Anand Mohan,MW,1130-1220,Food Science,202,25
FDST4180E,Brewing Science,57494,William Kerr,MWF,1720-1810,No Classroom Required,NCRR,7
FDST4250,Food Product Development,63782,Anand Mohan,MF,1350-1440,Food Science,202,24
FDST4250L,Food Product Development,63866,Anand Mohan,W,1350-1650,Food Science,202,24
FDST4800,Special Problems in Food Science,30414,William Kerr,No days set,0001-2359,No Classroom Required,NCRR,4
FDST4960R,Faculty-Mentored Undergraduate Research I,55410,Joseph Usack,No days set,0001-2359,No Classroom Required,NCRR,1
FDST4960R,Faculty-Mentored Undergraduate Research I,59329,Joonhyuk Suh,No days set,0001-2359,No Classroom Required,NCRR,3
FDST6012,Food Processing II,22215,Joseph Usack,MW,1240-1330,Food Science,131,28
FDST6012L,Food Processing II,22217,Joseph Usack,M,1350-1700,Food Science,218,28
FDST6012L,Food Processing II,22217,Joseph Usack,M,1350-1700,Food Science,131,28
FDST6012L,Food Processing II,22217,Joseph Usack,M,1350-1700,Food Science,217,28
FDST6070,Nutritional Quality and the Effect of Technology,21927,Chad Paton,TR,1245-1400,Food Science,202,28
FDST6080,Instrumental Methods of Food Analysis,22507,Ronald Pegg,TR,0935-1050,Food Science,131,24
FDST6080L,Instrumental Methods of Food Analysis,22511,Ronald Pegg,R,1555-1845,Food Science,131,24
FDST6080L,Instrumental Methods of Food Analysis,22511,Ronald Pegg,R,1555-1845,Food Science,218,24
FDST6080L,Instrumental Methods of Food Analysis,22511,Ronald Pegg,R,1555-1845,Food Science,217,24
FDST6090,Food Quality Control,53686,Joonhyuk Suh,F,1130-1220,Food Science,202,28
FDST6100,Governmental Regulation of Food Safety and Quality,22108,Anand Mohan,MW,1130-1220,Food Science,202,27
FDST6180E,Brewing Science,57496,William Kerr,MWF,1720-1810,No Classroom Required,NCRR,27
FDST6250,Food Product Development,63783,Anand Mohan,MF,1350-1440,Food Science,202,28
